CNN,ST_NAME,the_geom,ST_TYPE,CNNTEXT
25914000,FELL,POINT (-122.42432464931133 37.775753961899085),ST,25914000
23017000,CAMBON,POINT (-122.47438270458518 37.7175074857486),DR,23017000
21243000,NEWMAN,POINT (-122.41894019371702 37.73789660453028),ST,21243000
26776000,BAY,POINT (-122.43497257566727 37.80284751488974),ST,26776000
25703000,DOLORES,POINT (-122.42622847853792 37.763030870242886),ST,25703000
54189000,ROSA PARKS,POINT (-122.4226066304845 37.76744441939177),LN,54189000
50796000,REUEL,POINT (-122.38219033798015 37.73643322628881),CT,50796000
20142000,INGALLS,POINT (-122.38736826108148 37.725354104651785),ST,20142000
25161000,MABEL,POINT (-122.41633077746826 37.78572651702684),ALY,25161000
25983000,HENRY,POINT (-122.4355481230504 37.766527891989355),ST,25983000
51482000,FERNANDEZ,POINT (-122.45708904448031 37.79690960331553),ST,51482000
51359000,KOBBE,POINT (-122.47435273428577 37.798702784919016),AVE,51359000
25534000,COLUMBUS,POINT (-122.4168183441491 37.80488716059723),AVE,25534000
33300000,FAIR,POINT (-122.41785108012783 37.74477017232235),AVE,33300000
20341000,PEABODY,POINT (-122.40773363038257 37.70959004173952),ST,20341000
26931000,PARKER,POINT (-122.45461780258975 37.784029989293714),AVE,26931000
25274000,PACIFIC,POINT (-122.41665275479666 37.79567005107667),AVE,25274000
26271000,17TH,POINT (-122.45057996918482 37.76156113865587),ST,26271000
33074000,20TH,POINT (-122.40593403378597 37.75944580715052),ST,33074000
26343000,PAGE,POINT (-122.44712270052217 37.770934641362125),ST,26343000
26266000,COLE,POINT (-122.44912021444297 37.76164812569095),ST,26266000
27934000,KIRKHAM,POINT (-122.50472545239825 37.75860639979089),ST,27934000
22084000,GENEVA,POINT (-122.44288707254283 37.71828685138312),AVE,22084000
21712000,EDINBURGH,POINT (-122.43318514321194 37.71968063717402),ST,21712000
26747000,GREENWICH,POINT (-122.43586632019314 37.79895185005018),ST,26747000
24769000,MONTGOMERY,POINT (-122.40379710331999 37.79789357700019),ST,24769000
27133000,14TH,POINT (-122.47116753777007 37.755098948873666),AVE,27133000
32904000,SLOAT,POINT (-122.50671742856741 37.73546975791746),BLVD,32904000
30067000,UNION,POINT (-122.41162551582764 37.80013918998284),ST,30067000
24586000,MABINI,POINT (-122.40037436716572 37.78264451528788),ST,24586000
24286000,HOWARD,POINT (-122.4088326775241 37.77841553487331),ST,24286000
23670000,CONNECTICUT,POINT (-122.39737175764988 37.76124221801808),ST,23670000
22732000,HOLLOWAY,POINT (-122.46973969169908 37.721644376088086),AVE,22732000
24354000,12TH,POINT (-122.41689981869614 37.77172394668559),ST,24354000
54204000,ZANOWITZ,POINT (-122.4518614127847 37.80542644860275),AVE,54204000
51280000,DEEMS,POINT (-122.46396807606628 37.79446698901919),RD,51280000
33679000,RIDGE,POINT (-122.42607352714245 37.70934710886928),CT,33679000
24023000,MARIPOSA,POINT (-122.40927981921925 37.76308602377312),ST,24023000
21410000,FRANCE,POINT (-122.43275390843363 37.71736010691637),AVE,21410000
51273000,HALLECK,POINT (-122.45482940587843 37.800983904712744),ST,51273000
54082000,ALTA,POINT (-122.40354177638544 37.801629469404496),ST,54082000
23073000,JUNIPERO SERRA,POINT (-122.47217813064408 37.730103919582064),BLVD,23073000
21246000,CORTLAND,POINT (-122.41858437636894 37.739297279966564),AVE,21246000
23022000,HOLLOWAY,POINT (-122.47176027155245 37.721671203872354),AVE,23022000
25877000,MARKET,POINT (-122.42746205772221 37.76877049877058),ST,25877000
52162000,I-280 SOUTHBOUND,POINT (-122.39254779421904 37.76091148370775),,52162000
51275000,LINCOLN,POINT (-122.45510149835972 37.80110324240781),BLVD,51275000
26433000,STANYAN,POINT (-122.45335228880525 37.76824602503421),ST,26433000
23758000,RHODE ISLAND,POINT (-122.40220317444678 37.76095059613353),ST,23758000
50057000,LANGTON,POINT (-122.40455194819762 37.7732657834389),ST,50057000
20767000,WATERVILLE,POINT (-122.40282498430413 37.73589124925171),ST,20767000
26752000,CHESTNUT,POINT (-122.43460234440073 37.80102664048362),ST,26752000
26608000,FILLMORE,POINT (-122.43345991623397 37.78702066744986),ST,26608000
27873000,40TH,POINT (-122.50038632107886 37.77370199089167),AVE,27873000
25839000,ALERT,POINT (-122.42649069810597 37.76577360619295),ALY,25839000
54055000,ROSE,POINT (-122.42889839907082 37.772793342709136),ST,54055000
50893000,COSGROVE,POINT (-122.40651492336393 37.7421899947422),ST,50893000
20086000,BERTHA,POINT (-122.38128418186912 37.734033852486256),LN,20086000
24224000,15TH,POINT (-122.413259822422 37.76706997473729),ST,24224000
26985000,RICO,POINT (-122.44032809863248 37.80549853307784),WAY,26985000
54052000,TORRENS,POINT (-122.41864775419535 37.793048710809174),CT,54052000
51855000,GRIFFITH,POINT (-122.3751941361847 37.732621603486066),ST,51855000
