,Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates,Street_ID
4226,31113,08/07/2012 04:53:00 PM,Tuesday,Auto,Bicycle,,Broadway,Inman St," Broadway & Inman St Cambridge, MA",42.370072,-71.102933,"(42.370072, -71.102933)",1406
4240,31128,08/09/2012 05:25:00 PM,Thursday,Auto,Bicycle,,MAIN ST,Windsor St," MAIN ST & Windsor St Cambridge, MA",42.363207,-71.0967,"(42.363207, -71.0967)",2448
4246,31136,08/10/2012 05:49:00 PM,Friday,Auto,Bicycle,,HURON AVE,RESERVOIR ST," HURON AVE & RESERVOIR ST Cambridge, MA",42.381423,-71.135808,"(42.381423, -71.135808)",2430
4257,31143,08/13/2012 09:18:00 AM,Monday,Auto,Bicycle,,Massachusetts Ave,Shepard St," Massachusetts Ave & Shepard St Cambridge, MA",42.381853,-71.119723,"(42.381853, -71.119723)",1705
4261,31146,08/14/2012 03:10:00 PM,Tuesday,Auto,Bicycle,,GREEN ST,Bay St," GREEN ST & Bay St Cambridge, MA",42.368307,-71.110738,"(42.368307, -71.110738)",1335
4268,31159,08/15/2012 07:44:00 PM,Wednesday,Auto,Bicycle,,Massachusetts Ave,PROSPECT ST," Massachusetts Ave & PROSPECT ST Cambridge, MA",42.365574,-71.103991,"(42.365574, -71.103991)",1190
4274,31165,08/17/2012 08:00:00 PM,Friday,Auto,Bicycle,711,HURON AVE,,"711 HURON AVE Cambridge, MA",42.381331,-71.15475,"(42.381331, -71.15475)",1226
4282,31169,08/20/2012 08:29:00 AM,Monday,Auto,Bicycle,,Massachusetts Ave,EXETER PARK," Massachusetts Ave & EXETER PARK Cambridge, MA",42.384803,-71.119405,"(42.384803, -71.119405)",726
4285,31176,08/20/2012 06:11:00 PM,Monday,Auto,Bicycle,,Cambridge St,ELLERY ST," Cambridge St & ELLERY ST Cambridge, MA",42.374698,-71.108336,"(42.374698, -71.108336)",892
4287,31177,08/21/2012 10:56:00 AM,Tuesday,Auto,Bicycle,,Massachusetts Ave,MEMORIAL DR," Massachusetts Ave & MEMORIAL DR Cambridge, MA",42.357364,-71.092567,"(42.357364, -71.092567)",2100
4292,31183,08/22/2012 10:30:00 AM,Wednesday,Auto,Bicycle,438,Massachusetts Ave,,"438 Massachusetts Ave Cambridge, MA",42.363518,-71.100859,"(42.363518, -71.100859)",321
4294,31185,08/22/2012 02:29:00 PM,Wednesday,Auto,Bicycle,165,Hampshire St,,"165 Hampshire St Cambridge, MA",42.371856,-71.098366,"(42.371856, -71.098366)",313
4295,31186,08/22/2012 11:16:00 PM,Wednesday,Taxi,Bicycle,,Putnam Ave,Western Ave," Putnam Ave & Western Ave Cambridge, MA",42.364484,-71.113893,"(42.364484, -71.113893)",670
4307,31196,08/27/2012 08:00:00 AM,Monday,Auto,Bicycle,,Cambridge St,SUMNER RD," Cambridge St & SUMNER RD Cambridge, MA",42.375266,-71.112729,"(42.375266, -71.112729)",2124
4309,31198,08/27/2012 09:34:00 AM,Monday,Auto,Bicycle,,Massachusetts Ave,HANCOCK ST," Massachusetts Ave & HANCOCK ST Cambridge, MA",42.36838,-71.108783,"(42.36838, -71.108783)",1047
